# Parámetros:  ./calcular_cdt 16 32 MER DES 10000
# Ejecutando orden:  ./gen_traza MER DES 10000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
           10560              32               2        0.062500
           10592              32               2        0.062500
           10624              32               2        0.062500
           10656              32               2        0.062500
           10688              32               2        0.062500
           10720              32               2        0.062500
           10752              32               2        0.062500
           10784              32               2        0.062500
           10816              32               2        0.062500
           10848              32               2        0.062500
           10880              32               2        0.062500
           10912              32               2        0.062500
           10944              32               2        0.062500
           10976              32               2        0.062500
           11008              32               2        0.062500
           11040              32               2        0.062500
           11072              32               2        0.062500
           11104              32               2        0.062500
           11136              32               2        0.062500
           11168              32               2        0.062500
           11200              32               2        0.062500
           11232              32               2        0.062500
           11264              32               2        0.062500
           11296              32               2        0.062500
           11328              32               2        0.062500
           11360              32               2        0.062500
           11392              32               2        0.062500
           11424              32               2        0.062500
           11456              32               2        0.062500
           11488              32               2        0.062500
           11520              32               2        0.062500
           11552              32               2        0.062500
           11584              32               2        0.062500
           11616              32               2        0.062500
           11648              32               2        0.062500
           11680              32               2        0.062500
           11712              32               2        0.062500
           11744              32               2        0.062500
           11776              32               2        0.062500
           11808              32               2        0.062500
           11840              32               2        0.062500
           11872              32               2        0.062500
           11904              32               2        0.062500
           11936              32               2        0.062500
           11968              32               2        0.062500
           12000              32               2        0.062500
           12032              32               2        0.062500
           12064              32               2        0.062500
           12096              32               2        0.062500
           12128              32               2        0.062500
           12160              32               2        0.062500
           12192              32               2        0.062500
           12224              32               2        0.062500
           12256              32               2        0.062500
           12288              32               2        0.062500
           12320              32               2        0.062500
           12352              32               2        0.062500
           12384              32               2        0.062500
           12416              32               2        0.062500
           12448              32               2        0.062500
           12480              32               2        0.062500
           12512              32               2        0.062500
           12544              32               2        0.062500
           12576              32               2        0.062500
           12608              32               2        0.062500
           12640              32               2        0.062500
           12672              32               2        0.062500
           12704              32               2        0.062500
           12736              32               2        0.062500
           12768              32               2        0.062500
           12800              32               2        0.062500
           12832              32               2        0.062500
           12864              32               2        0.062500
           12896              32               2        0.062500
           12928              32               2        0.062500
           12960              32               2        0.062500
           12992              32               2        0.062500
           13024              32               2        0.062500
           13056              32               2        0.062500
           13088              32               2        0.062500
           13120              32               2        0.062500
           13152              32               2        0.062500
           13184              32               2        0.062500
           13216              32               2        0.062500
           13248              32               2        0.062500
           13280              32               2        0.062500
           13312              32               2        0.062500
           13344              32               2        0.062500
           13376              32               2        0.062500
           13408              32               2        0.062500
           13440              32               2        0.062500
           13472              32               2        0.062500
           13504              32               2        0.062500
           13536              32               2        0.062500
           13568              32               2        0.062500
           13600              32               2        0.062500
           13632              32               2        0.062500
           13664              32               2        0.062500
           13696              32               2        0.062500
           13728              32               2        0.062500
           13760              32               2        0.062500
           13792              32               2        0.062500
           13824              32               2        0.062500
           13856              32               2        0.062500
           13888              32               2        0.062500
           13920              32               2        0.062500
           13952              32               2        0.062500
           13984              32               2        0.062500
           14016              32               2        0.062500
           14048              32               2        0.062500
           14080              32               2        0.062500
           14112              32               2        0.062500
           14144              32               2        0.062500
           14176              32               2        0.062500
           14208              32               2        0.062500
           14240              32               2        0.062500
           14272              32               2        0.062500
           14304              32               2        0.062500
           14336              32               2        0.062500
           14368              32               2        0.062500
           14400              32               2        0.062500
           14432              32               2        0.062500
           14464              32               2        0.062500
           14496              32               2        0.062500
           14528              32               2        0.062500
           14560              32               2        0.062500
           14592              32               2        0.062500
           14624              32               2        0.062500
           14656              32               2        0.062500
           14688              32               2        0.062500
           14720              32               2        0.062500
           14752              32               2        0.062500
           14784              32               2        0.062500
           14816              32               2        0.062500
           14848              32               2        0.062500
           14880              32               2        0.062500
           14912              32               2        0.062500
           14944              32               2        0.062500
           14976              32               2        0.062500
           15008              32               2        0.062500
           15040              32               2        0.062500
           15072              32               2        0.062500
           15104              32               2        0.062500
           15136              32               2        0.062500
           15168              32               2        0.062500
           15200              32               2        0.062500
           15232              32               2        0.062500
           15264              32               2        0.062500
           15296              32               2        0.062500
           15328              32               2        0.062500
           15360              32               2        0.062500
           15392              32               2        0.062500
           15424              32               2        0.062500
           15456              32               2        0.062500
           15488              32               2        0.062500
           15520              32               2        0.062500
           15552              32               2        0.062500
           15584              32               2        0.062500
           15616              32               2        0.062500
           15648              32               2        0.062500
           15680              32               2        0.062500
           15712              32               2        0.062500
           15744              32               2        0.062500
           15776              32               2        0.062500
           15808              32               2        0.062500
           15840              32               2        0.062500
           15872              32               2        0.062500
           15904              32               2        0.062500
           15936              32               2        0.062500
           15968              32               2        0.062500
           16000              32               2        0.062500
           16032              32               2        0.062500
           16064              32               2        0.062500
           16096              32               2        0.062500
           16128              32               2        0.062500
           16160              32               2        0.062500
           16192              32               2        0.062500
           16224              32               2        0.062500
           16256              32               2        0.062500
           16288              32               2        0.062500
           16320              32               2        0.062500
           16352              32               2        0.062500
           16384              32               2        0.062500
           16416              32               2        0.062500
           16448              32               2        0.062500
           16480              32               2        0.062500
           16512              32               2        0.062500
           16544              32               2        0.062500
           16576              32               2        0.062500
           16608              32               2        0.062500
           16640              32               2        0.062500
           16672              32               2        0.062500
           16704              32               2        0.062500
           16736              32               2        0.062500
           16768              32               2        0.062500
           16800              32               2        0.062500
           16832              32               2        0.062500
           16864              32               2        0.062500
           16896              32               2        0.062500
           16928              32               2        0.062500
           16960              32               2        0.062500
           16992              32               2        0.062500
           17024              32               2        0.062500
           17056              32               2        0.062500
